"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"PRPF38B","blue",0.943380082136604,8.35958300997902e-20,-0.829039513269219,3.91796509080214e-11
"VAV3","blue",0.719178466256824,1.71396926875227e-07,-0.364116333439063,0.0209007844345752
"NOTCH2","blue",-0.706004521500067,3.59864819360976e-07,0.596329677081682,4.89369011730053e-05
"IL6ST","blue",0.842401133519928,9.44367158586512e-12,-0.798400510710673,6.74731953144944e-10
"NAV1","blue",0.704915336288897,3.81938427897737e-07,-0.71813561408888,1.8203601491572e-07
"CCNH","blue",0.960549282761663,1.01388035848692e-22,-0.661008038512842,3.44024547879163e-06
"KCTD1","blue",-0.793442067808996,1.02176479419328e-09,0.771885450278151,5.49200897807362e-09
"RTL8C","blue",-0.826511344901714,5.05839637897457e-11,0.758976590785708,1.38152823068952e-08
"PUM1","blue",0.965686749883144,7.48376792009725e-24,-0.800418181606541,5.68025145292527e-10
"RNF138","blue",0.73316780959816,7.44009276840691e-08,-0.172957188356983,0.285854720608104
"TPGS2","blue",-0.892859734712851,9.77323308964925e-15,0.922676726343781,2.59644118822809e-17
"TMEM165","blue",-0.786818049087371,1.74842982161894e-09,0.781218401364144,2.71369778595486e-09
"ERCC5","blue",0.90717274754427,7.28517017939353e-16,-0.876614066921959,1.23406889505276e-13
"STT3A","blue",-0.923393509808455,2.18921097664402e-17,0.862452108502102,8.55130090582536e-13
"UBQLN1","blue",0.761346018324587,1.1713905921879e-08,-0.26207952579022,0.102327399089183
"ISCA1","blue",0.938494330327116,3.859362697948e-19,-0.624974714791821,1.62541186200742e-05
"USP30","blue",0.833239094640617,2.53929455776959e-11,-0.559262503998717,0.0001758423382302
"FBXO21","blue",0.90500904674339,1.10707392403832e-15,-0.882072047441604,5.48842426984603e-14
"TMEM243","blue",0.93269783483038,2.03005585424537e-18,-0.842773045890188,9.0600775411737e-12
"TMEM60","blue",-0.939214847818899,3.10478943283728e-19,0.642482887070773,7.8372991837122e-06
"PNPLA8","blue",0.901304042109265,2.21571123369444e-15,-0.552702030106735,0.00021712578588487
"MDFIC","blue",-0.846498337493382,5.94490088096162e-12,0.874446480186153,1.68465879562262e-13
"CEP162","blue",-0.838665747558951,1.42393510494799e-11,0.427097607623391,0.00598519712377457
"AKIRIN2","blue",0.779074006601017,3.20043013576962e-09,-0.420600868107551,0.00688446502972233
"DNAJC14","blue",-0.700433640765127,4.86602241693658e-07,0.484024402738096,0.00155351562965656
"TFCP2","blue",-0.907124954356277,7.35363004241579e-16,0.6411678723675,8.29180687505083e-06
"CCDC102A","blue",-0.906242071571684,8.73270938120618e-16,0.832985703319363,2.60749923156832e-11
"STX6","blue",-0.960353171989206,1.11214782553039e-22,0.694005916687071,6.83501041878374e-07
"RC3H1","blue",0.883002104399718,4.76167377853871e-14,-0.781609367119371,2.63276949151895e-09
"DNAJB2","blue",0.855052164664852,2.1631082662946e-12,-0.841452316075768,1.04924331485155e-11
"CAB39","blue",-0.90790747776769,6.30544532176748e-16,0.90454313750636,1.209878850964e-15
"C2orf49","blue",0.830077215189737,3.52368082397151e-11,-0.711293415923119,2.68494091000235e-07
"ARHGEF4","blue",0.787092510696193,1.71058696899435e-09,-0.773670832301445,4.81148767039153e-09
"ISCU","blue",0.932913746012995,1.91346503009781e-18,-0.811101653204375,2.20740751041017e-10
"RCBTB1","blue",-0.760628626780298,1.23164054374283e-08,0.75789701570292,1.48846915672883e-08
"KDELR2","blue",-0.913948462375429,1.83333517676128e-16,0.857820372456365,1.53800502501356e-12
"NUP42","blue",-0.772251443780426,5.34559317697456e-09,0.737300193689341,5.75709246807508e-08
"CIDEB","blue",-0.803986349882546,4.16922847940573e-10,0.69218104720308,7.51531083455177e-07
"MYCBPAP","blue",-0.713012210185863,2.43776119100776e-07,0.543749791435275,0.000287517797394302
"DCAF7","blue",-0.982422486871507,2.61469605785767e-29,0.777941643140627,3.48918191009276e-09
"KAT7","blue",0.972354269734138,1.30734329892032e-25,-0.773434861611519,4.89668686977445e-09
"TRA2B","blue",0.871487384291011,2.55314066613387e-13,-0.434098912219754,0.00513155713533806
"SKIL","blue",0.914992116017688,1.46752097199153e-16,-0.826007843848259,5.31982496715052e-11
"VPS45","blue",-0.878145095321279,9.87025440776618e-14,0.48521081910555,0.00150667543316663
"UGGT1","blue",-0.91107296141536,3.33697055831193e-16,0.799622474462788,6.08068925624682e-10
"TOR1B","blue",-0.895533731718614,6.19314101480429e-15,0.580748854018966,8.53740418251606e-05
"TOR1A","blue",-0.934454216201787,1.24747311414907e-18,0.837350933582584,1.64133591494642e-11
"STXBP1","blue",-0.856242834065613,1.86958716551213e-12,0.649441959814004,5.78974178053759e-06
"TSTD2","blue",0.718542711660757,1.77812074964242e-07,-0.404166056789304,0.00969534580519319
"RANBP6","blue",0.851740392878041,3.2234379561132e-12,-0.673346683299679,1.92519474002337e-06
"RNF38","blue",0.89309467104291,9.39379667821405e-15,-0.851344856429403,3.3785456177174e-12
